product_key,product_name,abc_class,sales_qty_60d,revenue_60d,gross_profit_year_qty,avg_weekly_sales_gpy,avg_daily_sales_1c,free_stock_qty,required_purchase_qty_1c,planned_sales_qty,gross_qty_period,radiator_abc_class,radiator_qty_jan_2026,radiator_revenue_jan_2026,radiator_gross_profit_jan_2026,radiator_qty_feb_2026,radiator_revenue_feb_2026,radiator_gross_profit_feb_2026,radiator_qty_mar_2026,radiator_revenue_mar_2026,radiator_gross_profit_mar_2026,radiator_qty_apr_2026,radiator_revenue_apr_2026,radiator_gross_profit_apr_2026,avg_daily_sales_model,product_group,priority_flag,special_order_flag,procurement_scope_flag,avg_weekly_sales_fallback,procurement_daily_sales,days_of_cover,velocity_segment,critical_flag,preferred_daily_sales,target_cover_days,base_need,recommended_order_qty,avg_weekly_sales,target_stock_qty,radiator_monthly_demand,radiator_to_order_qty,radiator_target_stock_qty,radiator_coverage,hard_cap,recommended_order_qty_display,visible_in_dashboard,metrics_calculated_at,analysis_period_days
!программатор безпроводной электронный th-1732rf+rv1717m frontier,!Программатор Безпроводной Электронный Th-1732Rf+Rv1717M Frontier,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
!программатор проводной 091 fl salus,!Программатор Проводной 091 Fl Salus,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
!программатор проводной th-0108fs frontier,!Программатор Проводной Th-0108Fs Frontier,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
!программатор проводной электронный th-1732p-b frontier,!Программатор Проводной Электронный Th-1732P-B Frontier,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"""белые колодези"" смеситель для ванны, шар 40 мм, переключение в корпусе","""Белые Колодези"" Смеситель Для Ванны, Шар 40 Мм, Переключение В Корпусе",C,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"***1217t-uf сидение дюропласт, белое","***1217T-Uf Сидение Дюропласт, Белое",C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"0-25-3160 big blue 10"" для холодной воды (кронштейн,манометр ,латунные вставки)","0-25-3160 Big Blue 10"" Для Холодной Воды (Кронштейн,Манометр ,Латунные Вставки)",C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,0.03333333333333333,прочее,False,False,False,0.23333333333333334,0,0.0,SLOW,False,0.03333333333333333,7,0.23333333333333334,0,0.23333333333333334,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"0-25-3245 фильтр 3 ступени (белый,механ,умягчение,уголь)","0-25-3245 Фильтр 3 Ступени (Белый,Механ,Умягчение,Уголь)",C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"0-25-3290 фильтр 5 ступеней с минирализатором (обратный осмос,вер.2)","0-25-3290 Фильтр 5 Ступеней С Минирализатором (Обратный Осмос,Вер.2)",C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"0-25-5665 катридж угольный(прессованный) 10""sl,10 мкм","0-25-5665 Катридж Угольный(Прессованный) 10""Sl,10 Мкм",C,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,0.16666666666666666,прочее,False,False,False,1.1666666666666665,0,0.0,MEDIUM,False,0.16666666666666666,7,1.1666666666666665,2,1.1666666666666665,2,,,,,10000,2,False,2026-04-10 13:15:49.644055,60
"0-25-9046 нитяной картридж акватек gradient+10"" вв, для хол.воды 20 мкм","0-25-9046 Нитяной Картридж Акватек Gradient+10"" Вв, Для Хол.Воды 20 Мкм",C,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,0.16666666666666666,прочее,False,False,False,1.1666666666666665,0,0.0,MEDIUM,False,0.16666666666666666,7,1.1666666666666665,2,1.1666666666666665,2,,,,,10000,2,False,2026-04-10 13:15:49.644055,60
"0-32-1895 wester коллектор нерж. 1""- 3/4"" , в сборе на 8 выходов с 2 заглушками","0-32-1895 Wester Коллектор Нерж. 1""- 3/4"" , В Сборе На 8 Выходов С 2 Заглушками",C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,0.03333333333333333,прочее,False,False,False,0.23333333333333334,0,0.0,SLOW,False,0.03333333333333333,7,0.23333333333333334,0,0.23333333333333334,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"058 насос циркуляционный cd 25/6 ""making оasis everywhere"" серия home","058 Насос Циркуляционный Cd 25/6 ""Making Оasis Everywhere"" Серия Home",C,87.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,87.0,,,,,,,,,,,,,,1.45,насосы,False,False,False,10.15,1,0.0,FAST,False,1.45,7,10.15,16,10.15,16,,,,,10000,16,False,2026-04-10 13:15:49.644055,60
10rк решетка d130 круглая с фланцем d100,10Rк Решетка D130 Круглая С Фланцем D100,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,0.03333333333333333,прочее,False,False,False,0.23333333333333334,0,0.0,SLOW,False,0.03333333333333333,7,0.23333333333333334,0,0.23333333333333334,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
10апп анемостат приточный с регул. фланцем d100,10Апп Анемостат Приточный С Регул. Фланцем D100,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"118.00 шлифовальная губка rgm, средняя плотность, пленка 125x98x12мм р220","118.00 Шлифовальная Губка Rgm, Средняя Плотность, Пленка 125X98X12Мм Р220",C,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,,,,,,,,,,,,,,4.166666666666667,прочее,False,False,False,29.166666666666668,4,0.0,FAST,False,4.166666666666667,7,29.166666666666668,44,29.166666666666668,44,,,,,10000,44,False,2026-04-10 13:15:49.644055,60
"12,5апп анемостат приточный с регул. фланцем d125","12,5Апп Анемостат Приточный С Регул. Фланцем D125",C,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,0.06666666666666667,прочее,False,False,False,0.4666666666666667,0,0.0,SLOW,False,0.06666666666666667,7,0.4666666666666667,0,0.4666666666666667,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
1200-с5,1200-С5,C,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,0.06666666666666667,прочее,False,False,False,0.4666666666666667,0,0.0,SLOW,False,0.06666666666666667,7,0.4666666666666667,0,0.4666666666666667,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
1200-с6,1200-С6,B,99.0,0.0,0.0,0.0,1.205,0.0,44.0,53.0,99.0,,,,,,,,,,,,,,1.65,прочее,False,False,False,11.549999999999999,2,0.0,FAST,False,1.205,14,16.87,18,11.549999999999999,18,,,,,10000,18,False,2026-04-10 13:15:49.644055,60
1200-с6 к19,1200-С6 К19,B,66.0,0.0,0.0,0.0,0.727,0.0,22.0,32.0,66.0,,,,,,,,,,,,,,1.1,прочее,False,False,False,7.700000000000001,1,0.0,FAST,False,0.727,14,10.177999999999999,12,7.700000000000001,12,,,,,10000,12,False,2026-04-10 13:15:49.644055,60
1200-с6 к33,1200-С6 К33,B,68.0,0.0,0.0,0.0,3.5,0.0,154.0,154.0,68.0,,,,,,,,,,,,,,1.1333333333333333,прочее,False,False,False,7.933333333333334,1,0.0,FAST,False,3.5,14,49.0,12,7.933333333333334,12,,,,,10000,12,False,2026-04-10 13:15:49.644055,60
1200-с6 к43,1200-С6 К43,A,54.0,0.0,0.0,0.0,1.682,0.0,59.0,74.0,54.0,,,,,,,,,,,,,,0.9,прочее,False,False,False,6.3,0,0.0,FAST,False,1.682,21,35.321999999999996,10,6.3,10,,,,,10000,10,False,2026-04-10 13:15:49.644055,60
1200-с7,1200-С7,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
1200-с7 к19,1200-С7 К19,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
1200-с7 к33,1200-С7 К33,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
1200-с7 к8,1200-С7 К8,B,171.0,0.0,0.0,0.0,0.986,0.0,26.4,43.4,171.0,,,,,,,,,,,,,,2.85,прочее,False,False,False,19.95,3,0.0,FAST,False,0.986,14,13.804,30,19.95,30,,,,,10000,30,False,2026-04-10 13:15:49.644055,60
1200-с7 к89 (коричневый),1200-С7 К89 (Коричневый),B,104.0,0.0,0.0,0.0,1.136,0.0,33.0,50.0,104.0,,,,,,,,,,,,,,1.7333333333333334,прочее,False,False,False,12.133333333333333,2,0.0,FAST,False,1.136,14,15.903999999999998,19,12.133333333333333,19,,,,,10000,19,False,2026-04-10 13:15:49.644055,60
"1289a rimless унитаз-компакт, с сиденьем дюропласт, белый 655*360*915 e","1289A Rimless Унитаз-Компакт, С Сиденьем Дюропласт, Белый 655*360*915 E",C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
12rк решетка d150 круглая с фланцем d125,12Rк Решетка D150 Круглая С Фланцем D125,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,0.05,прочее,False,False,False,0.35000000000000003,0,0.0,SLOW,False,0.05,7,0.35000000000000003,0,0.35000000000000003,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
15bm выход стенной вентиляционный вытяжной метл. с фланцем d150,15Bm Выход Стенной Вентиляционный Вытяжной Метл. С Фланцем D150,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,0.08333333333333333,прочее,False,False,False,0.5833333333333333,0,0.0,SLOW,False,0.08333333333333333,7,0.5833333333333333,0,0.5833333333333333,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
15rк решетка d200 круглая с фланцем d150,15Rк Решетка D200 Круглая С Фланцем D150,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,0.03333333333333333,прочее,False,False,False,0.23333333333333334,0,0.0,SLOW,False,0.03333333333333333,7,0.23333333333333334,0,0.23333333333333334,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
15в,15В,C,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"1650 муфта пресс с наруж.резьбой 20(2,0)x1/2""","1650 Муфта Пресс С Наруж.Резьбой 20(2,0)X1/2""",C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"1650 муфта пресс с наруж.резьбой 26(3,0)x3/4""","1650 Муфта Пресс С Наруж.Резьбой 26(3,0)X3/4""",C,9670.0,0.0,0.0,0.0,0.0,0.0,9670.0,0.0,9670.0,,,,,,,,,,,,,,161.16666666666666,прочее,False,False,False,1128.1666666666665,161,0.0,FAST,False,10.0,7,70.0,1693,1128.1666666666665,1693,,,,,10000,1693,False,2026-04-10 13:15:49.644055,60
"1653 tiemme угол двусторонний, 16*16 красные","1653 Tiemme Угол Двусторонний, 16*16 Красные",C,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,0.13333333333333333,прочее,False,False,False,0.9333333333333333,0,0.0,MEDIUM,False,0.13333333333333333,7,0.9333333333333333,0,0.9333333333333333,2,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"1653 угол двусторонний, 20*20","1653 Угол Двусторонний, 20*20",C,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,0.11666666666666667,прочее,False,False,False,0.8166666666666667,0,0.0,MEDIUM,False,0.11666666666666667,7,0.8166666666666667,0,0.8166666666666667,2,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"16657 тройник пресс, 20*16*20","16657 Тройник Пресс, 20*16*20",C,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
"2-х горел. газовая варочная панель ""genberg"" g 3012","2-Х Горел. Газовая Варочная Панель ""Genberg"" G 3012",C,2.0,0.0,2.0,0.038461538461538464,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,0.03333333333333333,газовые колонки,True,False,True,0.23333333333333334,0,0.0,SLOW,True,0.03333333333333333,7,0.23333333333333334,0,0.038461538461538464,0,,,,,10000,0,True,2026-04-10 13:15:49.644055,60
"2-х горел. газовая варочная панель нержавека ""genberg"" g 3012-stgik","2-Х Горел. Газовая Варочная Панель Нержавека ""Genberg"" G 3012-Stgik",C,6.0,0.0,6.0,0.11538461538461539,1.111,0.0,48.889,48.889,6.0,,,,,,,,,,,,,,0.1,газовые колонки,True,True,False,0.7000000000000001,0,0.0,MEDIUM,False,1.111,7,7.777,0,0.11538461538461539,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
2-х контурный чиллер 170 квт на базе компрессоров dorin в комплекте с воздушным конденсатором,2-Х Контурный Чиллер 170 Квт На Базе Компрессоров Dorin В Комплекте С Воздушным Конденсатором,C,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,True,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
2020мэ решетка мет. 200х200 кор.,2020Мэ Решетка Мет. 200Х200 Кор.,C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,0.016666666666666666,прочее,False,False,False,0.11666666666666667,0,0.0,SLOW,False,0.016666666666666666,7,0.11666666666666667,0,0.11666666666666667,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
20х25х20 тройник редукционный белый/ valfex (25/200),20Х25Х20 Тройник Редукционный Белый/ Valfex (25/200),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,прочее,False,False,False,0.0,0,365.0,SLOW,False,0.0,7,0.0,0,0.0,0,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
2501,2501,C,24.0,0.0,0.0,0.0,5.0,0.0,220.0,220.0,24.0,,,,,,,,,,,,,,0.4,прочее,False,False,False,2.8000000000000003,0,0.0,MEDIUM,False,5.0,7,35.0,5,2.8000000000000003,5,,,,,10000,5,False,2026-04-10 13:15:49.644055,60
2501 к47,2501 К47,C,9.0,0.0,0.0,0.0,3.0,0.0,132.0,132.0,9.0,,,,,,,,,,,,,,0.15,прочее,False,False,False,1.05,0,0.0,MEDIUM,False,3.0,7,21.0,2,1.05,2,,,,,10000,2,False,2026-04-10 13:15:49.644055,60
2501 к54,2501 К54,C,3.0,0.0,0.0,0.0,1.0,0.0,44.0,44.0,3.0,,,,,,,,,,,,,,0.05,прочее,False,False,False,0.35000000000000003,0,0.0,SLOW,False,1.0,7,7.0,0,0.35000000000000003,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
2601,2601,C,39.0,0.0,0.0,0.0,2.0,0.0,88.0,88.0,39.0,,,,,,,,,,,,,,0.65,прочее,False,False,False,4.55,0,0.0,FAST,False,2.0,7,14.0,7,4.55,7,,,,,10000,7,False,2026-04-10 13:15:49.644055,60
2601 к41,2601 К41,C,8.0,0.0,0.0,0.0,1.0,0.0,44.0,44.0,8.0,,,,,,,,,,,,,,0.13333333333333333,прочее,False,False,False,0.9333333333333333,0,0.0,MEDIUM,False,1.0,7,7.0,0,0.9333333333333333,2,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
2601 к47,2601 К47,C,39.0,0.0,0.0,0.0,0.045,0.0,1.0,2.0,39.0,,,,,,,,,,,,,,0.65,прочее,False,False,False,4.55,0,0.0,FAST,False,0.045,7,0.315,7,4.55,7,,,,,10000,7,False,2026-04-10 13:15:49.644055,60
3200-05,3200-05,C,12.0,0.0,0.0,0.0,0.068,0.0,1.0,3.0,12.0,,,,,,,,,,,,,,0.2,прочее,False,False,False,1.4000000000000001,0,0.0,MEDIUM,False,0.068,7,0.47600000000000003,3,1.4000000000000001,3,,,,,10000,3,False,2026-04-10 13:15:49.644055,60
3200-05 к19,3200-05 К19,C,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,0.05,прочее,False,False,False,0.35000000000000003,0,0.0,SLOW,False,0.05,7,0.35000000000000003,0,0.35000000000000003,1,,,,,10000,0,False,2026-04-10 13:15:49.644055,60
